Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Shots,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
1,Brenden Aaronson,us USA,MFFW,Leeds United,22-104,2000,17.4,1,26,5,19.2,1.49,0.29,0.04,0.2,18.6,1,0,0,2.4,2.4,0.09,-1.4,-1.4
2,Che Adams,sct SCO,FW,Southampton,26-205,1996,16.4,4,35,13,37.1,2.13,0.79,0.11,0.31,14.4,0,0,0,4.6,4.6,0.13,-0.6,-0.6
3,Tyler Adams,us USA,MF,Leeds United,23-354,1999,17,0,2,0,0,0.12,0,0,,29.4,0,0,0,0,0,0.02,0,0
4,Tosin Adarabioyo,eng ENG,DF,Fulham,25-132,1997,12.2,1,4,2,50,0.33,0.16,0.25,0.5,16.4,0,0,0,0.2,0.2,0.04,0.8,0.8
5,Nayef Aguerd,ma MAR,DF,West Ham,26-310,1996,3.8,0,2,0,0,0.52,0,0,,8,0,0,0,0.5,0.5,0.23,-0.5,-0.5
6,Rayan Aït Nouri,fr FRA,DF,Wolves,21-242,2001,8.7,1,10,5,50,1.15,0.57,0.1,0.2,14.1,0,0,0,0.7,0.7,0.07,0.3,0.3
7,Kristoffer Ajer,no NOR,DF,Brentford,24-292,1998,7.5,0,1,0,0,0.13,0,0,,6,0,0,0,0,0,0.04,0,0
8,Manuel Akanji,ch SUI,DF,Manchester City,27-199,1995,13.3,0,9,1,11.1,0.68,0.08,0,0,17.7,0,0,0,0.5,0.5,0.06,-0.5,-0.5
9,Nathan Aké,nl NED,DF,Manchester City,27-350,1995,11.8,0,4,0,0,0.34,0,0,,10.5,0,0,0,0.2,0.2,0.06,-0.2,-0.2
10,Marc Albrighton,eng ENG,FWMF,Leicester City,33-077,1989,2.6,1,2,1,50,0.76,0.38,0.5,1,8,0,0,0,0.3,0.3,0.17,0.7,0.7
11,Thiago Alcántara,es ESP,MF,Liverpool,31-298,1991,11.9,0,9,1,11.1,0.76,0.08,0,0,25.2,0,0,0,0.4,0.4,0.05,-0.4,-0.4
12,Carlos Alcaraz,ar ARG,MF,Southampton,20-065,2002,0.3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
13,Trent Alexander-Arnold,eng ENG,DF,Liverpool,24-119,1998,15,1,18,3,16.7,1.2,0.2,0.06,0.33,22,2,0,0,1.3,1.3,0.07,-0.3,-0.3
14,Alisson,br BRA,GK,Liverpool,30-124,1992,19,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
15,Dele Alli,eng ENG,MF,Everton,26-298,1996,0.4,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
16,Miguel Almirón,py PAR,FW,Newcastle Utd,28-358,1994,18.4,9,46,14,30.4,2.5,0.76,0.2,0.64,17,0,0,0,5.4,5.4,0.12,3.6,3.6
17,Julián Álvarez,ar ARG,FWMF,Manchester City,23-003,2000,5.4,4,16,8,50,2.95,1.48,0.25,0.5,15.3,0,0,0,1.9,1.9,0.12,2.1,2.1
18,Daniel Amartey,gh GHA,DF,Leicester City,28-044,1994,15.2,0,3,2,66.7,0.2,0.13,0,0,25.2,0,0,0,0.1,0.1,0.02,-0.1,-0.1
19,Joachim Andersen,dk DEN,DF,Crystal Palace,26-248,1996,16.4,1,11,5,45.5,0.67,0.3,0.09,0.2,11,0,0,0,1.1,1.1,0.1,-0.1,-0.1
20,Elliot Anderson,sct SCO,FWMF,Newcastle Utd,20-089,2002,1.2,0,4,1,25,3.46,0.87,0,0,12,0,0,0,0.5,0.5,0.12,-0.5,-0.5
21,Jaidon Anthony,eng ENG,MFFW,Bournemouth,23-064,1999,7.1,3,14,10,71.4,1.97,1.4,0.21,0.3,19.3,2,0,0,1.3,1.3,0.1,1.7,1.7
22,Michail Antonio,jm JAM,FW,West Ham,32-312,1990,10.1,2,21,7,33.3,2.09,0.7,0.1,0.29,14.3,0,0,0,2.5,2.5,0.12,-0.5,-0.5
23,Antony,br BRA,FW,Manchester Utd,22-344,2000,9.2,3,31,13,41.9,3.37,1.41,0.1,0.23,20.3,0,0,0,2.7,2.7,0.09,0.3,0.3
24,Cameron Archer,eng ENG,FWMF,Aston Villa,21-197,2001,0.5,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
25,Alphonse Areola,fr FRA,GK,West Ham,29-341,1993,1.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
26,Joe Aribo,ng NGA,MFFW,Southampton,26-197,1996,12,2,13,8,61.5,1.08,0.67,0.15,0.25,10.7,0,0,0,1.4,1.4,0.11,0.6,0.6
27,Adam Armstrong,eng ENG,FW,Southampton,25-358,1997,11.3,1,18,8,44.4,1.59,0.71,0.06,0.13,15.9,0,0,0,1.4,1.4,0.08,-0.4,-0.4
28,Stuart Armstrong,sct SCO,MFFW,Southampton,30-310,1992,8.5,1,13,3,23.1,1.53,0.35,0.08,0.33,18.4,0,0,0,1.1,1.1,0.09,-0.1,-0.1
29,Kepa Arrizabalaga,es ESP,GK,Chelsea,28-123,1994,11.5,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
30,Pierre-Emerick Aubameyang,ga GAB,FW,Chelsea,33-230,1989,4.8,1,10,5,50,2.08,1.04,0.1,0.2,15.3,0,0,0,0.7,0.7,0.07,0.3,0.3
31,Ludwig Augustinsson,se SWE,DF,Aston Villa,28-288,1994,0.9,0,2,1,50,2.34,1.17,0,0,12.7,0,0,0,0.1,0.1,0.04,-0.1,-0.1
32,Serge Aurier,ci CIV,DF,Nott'ham Forest,30-041,1992,10.5,1,5,1,20,0.48,0.1,0.2,1,15.2,0,0,0,0.5,0.5,0.1,0.5,0.5
33,Taiwo Awoniyi,ng NGA,FW,Nott'ham Forest,25-175,1997,8.1,4,19,8,42.1,2.34,0.99,0.21,0.5,11.9,0,0,0,4.5,4.5,0.25,-0.5,-0.5
34,Jordan Ayew,gh GHA,FWMF,Crystal Palace,31-145,1991,14.8,1,13,6,46.2,0.88,0.4,0.08,0.17,15.1,0,0,0,1.4,1.4,0.11,-0.4,-0.4
35,Luke Ayling,eng ENG,DF,Leeds United,31-162,1991,5.8,0,3,0,0,0.52,0,0,,16.9,0,0,0,0.2,0.2,0.05,-0.2,-0.2
36,César Azpilicueta,es ESP,DF,Chelsea,33-159,1989,11,0,5,1,20,0.45,0.09,0,0,20.5,0,0,0,0.2,0.2,0.04,-0.2,-0.2
37,Benoît Badiashile,fr FRA,DF,Chelsea,21-314,2001,2,0,1,1,100,0.5,0.5,0,0,4.2,0,0,0,0.3,0.3,0.33,-0.3,-0.3
38,Leon Bailey,jm JAM,FWMF,Aston Villa,25-178,1997,13.7,4,31,10,32.3,2.26,0.73,0.13,0.4,16.9,2,0,0,3.9,3.9,0.12,0.1,0.1
39,Stefan Bajcetic,es ESP,MF,Liverpool,18-104,2004,1.3,1,2,1,50,1.51,0.76,0.5,1,13.1,0,0,0,0.6,0.6,0.29,0.4,0.4
40,Patrick Bamford,eng ENG,FW,Leeds United,29-151,1993,5.2,1,18,9,50,3.48,1.74,0.06,0.11,13.8,0,0,1,4.6,3.8,0.21,-3.6,-2.8
41,Shandon Baptiste,gd GRN,MF,Brentford,24-301,1998,4.8,0,2,1,50,0.42,0.21,0,0,16.9,0,0,0,0.2,0.2,0.1,-0.2,-0.2
42,Harvey Barnes,eng ENG,MFFW,Leicester City,25-056,1997,16.8,7,43,20,46.5,2.55,1.19,0.16,0.35,16.2,0,0,0,5.4,5.4,0.13,1.6,1.6
43,Gavin Bazunu,ie IRL,GK,Southampton,20-348,2002,20,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
44,Mads Bech Sørensen,dk DEN,DFMF,Brentford,24-027,1999,0.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
45,Jan Bednarek,pl POL,DF,Southampton,26-297,1996,1.8,0,1,0,0,0.57,0,0,,12.6,0,0,0,0.1,0.1,0.06,-0.1,-0.1
46,Jan Bednarek,pl POL,DF,Aston Villa,26-297,1996,1.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
47,Donny van de Beek,nl NED,MF,Manchester Utd,25-291,1997,1.9,0,2,0,0,1.08,0,0,,10.1,0,0,0,0.1,0.1,0.05,-0.1,-0.1
48,Asmir Begović,ba BIH,GK,Everton,35-228,1987,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
49,Armel Bella Kotchap,de GER,DF,Southampton,21-054,2001,11.4,0,10,1,10,0.88,0.09,0,0,16.9,0,0,0,0.7,0.7,0.07,-0.7,-0.7
50,Saïd Benrahma,dz ALG,FWMF,West Ham,27-177,1995,11.7,3,34,11,32.4,2.9,0.94,0.03,0.09,22.4,2,2,2,3.5,1.9,0.06,-0.5,-0.9
51,Rodrigo Bentancur,uy URU,MF,Tottenham,25-223,1997,15,4,12,7,58.3,0.8,0.47,0.33,0.57,15.5,0,0,0,1.4,1.4,0.12,2.6,2.6
52,Owen Bevan,wls WAL,DF,Bournemouth,19-100,2003,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
53,Giulian Biancone,fr FRA,DF,Nott'ham Forest,22-309,2000,0.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
54,Philip Billing,dk DEN,MFFW,Bournemouth,26-237,1996,15.6,4,18,9,50,1.16,0.58,0.22,0.44,19.2,3,0,0,1.6,1.6,0.09,2.4,2.4
55,Yves Bissouma,ml MLI,MF,Tottenham,26-157,1996,9,0,5,0,0,0.56,0,0,,26.2,0,0,0,0.2,0.2,0.03,-0.2,-0.2
56,Willy Boly,ci CIV,DF,Nott'ham Forest,32-000,1991,5.5,0,1,0,0,0.18,0,0,,22.1,0,0,0,0,0,0.02,0,0
57,Sven Botman,nl NED,DF,Newcastle Utd,23-022,2000,16.7,0,9,3,33.3,0.54,0.18,0,0,12,0,0,0,0.8,0.8,0.09,-0.8,-0.8
58,Jarrod Bowen,eng ENG,FWMF,West Ham,26-045,1996,19.9,4,43,10,23.3,2.16,0.5,0.07,0.3,16,1,1,2,6.2,5.2,0.12,-2.2,-2.2
59,Armando Broja,al ALB,FW,Chelsea,21-146,2001,3.3,1,6,5,83.3,1.84,1.53,0.17,0.2,11,0,0,0,0.8,0.8,0.14,0.2,0.2
60,Lewis Brunt,eng ENG,DF,Leicester City,22-089,2000,0.3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
61,Bryan,es ESP,MFFW,Tottenham,21-357,2001,1.6,0,2,1,50,1.22,0.61,0,0,19.4,0,0,0,0.1,0.1,0.05,-0.1,-0.1
62,Emi Buendía,ar ARG,MFFW,Aston Villa,26-040,1996,12.6,3,25,5,20,1.99,0.4,0.12,0.6,16.7,1,0,0,3.3,3.3,0.13,-0.3,-0.3
63,Hugo Bueno,es ESP,DF,Wolves,20-138,2002,9.1,0,4,1,25,0.44,0.11,0,0,18.5,0,0,0,0.2,0.2,0.04,-0.2,-0.2
64,Dan Burn,eng ENG,DF,Newcastle Utd,30-270,1992,18.6,0,11,3,27.3,0.59,0.16,0,0,12,0,0,0,0.9,0.9,0.08,-0.9,-0.9
65,Cafú,pt POR,MF,Nott'ham Forest,29-342,1993,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
66,Moisés Caicedo,ec ECU,MF,Brighton,21-093,2001,17.8,1,13,4,30.8,0.73,0.22,0.08,0.25,23.3,0,0,0,0.9,0.9,0.07,0.1,0.1
67,Tom Cairney,sct SCO,MF,Fulham,32-014,1991,5.2,0,10,0,0,1.91,0,0,,19.8,0,0,0,0.6,0.6,0.06,-0.6,-0.6
68,Duje Ćaleta-Car,hr CRO,DF,Southampton,26-139,1996,8,0,3,1,33.3,0.38,0.13,0,0,10.6,0,0,0,0.3,0.3,0.1,-0.3,-0.3
69,Dominic Calvert-Lewin,eng ENG,FW,Everton,25-324,1997,7.4,1,12,3,25,1.61,0.4,0.08,0.33,11.6,0,0,0,2,2,0.17,-1,-1
70,Chem Campbell,wls WAL,FWMF,Wolves,20-035,2002,0.8,0,2,0,0,2.43,0,0,,11.3,0,0,0,0.1,0.1,0.05,-0.1,-0.1
71,João Cancelo,pt POR,DF,Manchester City,28-252,1994,14.2,2,17,3,17.6,1.2,0.21,0.12,0.67,22.7,0,0,0,0.8,0.8,0.05,1.2,1.2
72,Thomas Cannon,ie IRL,FW,Everton,20-037,2002,0.3,0,1,1,100,3.6,3.6,0,0,10.8,0,0,0,0.1,0.1,0.09,-0.1,-0.1
73,Sergi Canós,es ESP,FWDF,Brentford,26-001,1997,0.9,0,1,0,0,1.17,0,0,,16.1,0,0,0,0.1,0.1,0.07,-0.1,-0.1
74,Diego Carlos,br BRA,DF,Aston Villa,29-325,1993,2,0,4,0,0,2.01,0,0,,15.7,0,0,0,0.4,0.4,0.09,-0.4,-0.4
75,Fabio Carvalho,pt POR,MFFW,Liverpool,20-157,2002,3.7,2,11,4,36.4,2.94,1.07,0.18,0.5,11.5,0,0,0,1.1,1.1,0.1,0.9,0.9
76,Casemiro,br BRA,MF,Manchester Utd,30-345,1992,12.9,2,17,5,29.4,1.32,0.39,0.12,0.4,22.5,0,0,0,2.1,2.1,0.12,-0.1,-0.1
77,Matty Cash,pl POL,DF,Aston Villa,25-180,1997,12.8,0,7,1,14.3,0.55,0.08,0,0,26.9,0,0,0,0.2,0.2,0.03,-0.2,-0.2
78,Timothy Castagne,be BEL,DF,Leicester City,27-060,1995,18.2,1,10,3,30,0.55,0.16,0.1,0.33,8.6,0,0,0,1.6,1.6,0.16,-0.6,-0.6
79,Jonny Castro,es ESP,DF,Wolves,28-337,1994,11.2,0,8,1,12.5,0.72,0.09,0,0,22.1,0,0,0,0.3,0.3,0.03,-0.3,-0.3
80,Julio César Enciso,py PAR,FWMF,Brighton,19-011,2004,1.3,0,7,6,85.7,5.48,4.7,0,0,24.1,0,0,0,0.5,0.5,0.07,-0.5,-0.5
81,Nathaniel Chalobah,eng ENG,MF,Fulham,28-053,1994,0.1,0,1,1,100,7.5,7.5,0,0,10.1,0,0,0,0.1,0.1,0.09,-0.1,-0.1
82,Trevoh Chalobah,eng ENG,DF,Chelsea,23-213,1999,10.8,0,5,1,20,0.46,0.09,0,0,11.1,0,0,0,0.4,0.4,0.08,-0.4,-0.4
83,Calum Chambers,eng ENG,DFMF,Aston Villa,28-014,1995,1.2,0,1,0,0,0.82,0,0,,29.2,0,0,0,0,0,0.03,0,0
84,Ben Chilwell,eng ENG,DFMF,Chelsea,26-044,1996,4.7,1,3,1,33.3,0.64,0.21,0.33,1,15.3,0,0,0,0.3,0.3,0.1,0.7,0.7
85,Ryan Christie,sct SCO,MFFW,Bournemouth,27-346,1995,11.2,1,17,5,29.4,1.52,0.45,0.06,0.2,14.1,0,0,0,1.6,1.6,0.09,-0.6,-0.6
86,Carney Chukwuemeka,eng ENG,MFFW,Chelsea,19-106,2003,2.2,0,4,1,25,1.78,0.45,0,0,16.4,0,0,0,0.3,0.3,0.07,-0.3,-0.3
87,Bobby Clark,eng ENG,MF,Liverpool,17-361,2005,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
88,Nathaniel Clyne,eng ENG,DF,Crystal Palace,31-304,1991,11.4,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
89,Conor Coady,eng ENG,DF,Everton,29-343,1993,17.9,1,3,2,66.7,0.17,0.11,0.33,0.5,9.9,0,0,0,0.6,0.6,0.2,0.4,0.4
90,Jack Colback,eng ENG,MF,Nott'ham Forest,33-102,1989,2.6,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
91,Séamus Coleman,ie IRL,DF,Everton,34-115,1988,8.5,0,3,0,0,0.35,0,0,,17.8,0,0,0,0.2,0.2,0.06,-0.2,-0.2
92,Nathan Collins,ie IRL,DF,Wolves,21-279,2001,16.4,0,1,0,0,0.06,0,0,,13.1,0,0,0,0,0,0.03,0,0
93,Levi Colwill,eng ENG,DF,Brighton,19-342,2003,5.1,0,1,0,0,0.19,0,0,,8.1,0,0,0,0.2,0.2,0.18,-0.2,-0.2
94,Lewis Cook,eng ENG,MF,Bournemouth,26-000,1997,16.5,0,5,0,0,0.3,0,0,,28,1,0,0,0.2,0.2,0.04,-0.2,-0.2
95,Steve Cook,eng ENG,DF,Nott'ham Forest,31-290,1991,10.6,0,3,0,0,0.28,0,0,,14.2,0,0,0,0.1,0.1,0.05,-0.1,-0.1
96,Liam Cooper,sct SCO,DF,Leeds United,31-157,1991,11.3,1,9,2,22.2,0.8,0.18,0.11,0.5,8.9,0,0,0,1,1,0.11,0,0
97,Maxwel Cornet,ci CIV,FW,West Ham,26-129,1996,1,0,4,1,25,3.96,0.99,0,0,9.8,0,0,0,0.5,0.5,0.13,-0.5,-0.5
98,Diego Costa,es ESP,FW,Wolves,34-119,1988,6.8,0,20,7,35,2.94,1.03,0,0,11.8,0,0,0,2,2,0.1,-2,-2
99,Vladimír Coufal,cz CZE,DF,West Ham,30-165,1992,12.4,0,5,0,0,0.4,0,0,,24.3,0,0,0,0.3,0.3,0.05,-0.3,-0.3
100,Philippe Coutinho,br BRA,MFFW,Aston Villa,30-236,1992,7.4,0,17,6,35.3,2.29,0.81,0,0,21.6,2,0,0,1,1,0.06,-1,-1
101,Conor Coventry,ie IRL,MFFW,West Ham,22-315,2000,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
102,Aaron Cresswell,eng ENG,DF,West Ham,33-050,1989,17,0,7,1,14.3,0.41,0.06,0,0,22.8,3,0,0,0.3,0.3,0.04,-0.3,-0.3
103,Marc Cucurella,es ESP,DF,Chelsea,24-196,1998,13.3,0,6,0,0,0.45,0,0,,17.7,0,0,0,0.4,0.4,0.06,-0.4,-0.4
104,Matheus Cunha,br BRA,FW,Wolves,23-252,1999,1.5,0,3,0,0,2.03,0,0,,11.2,0,0,0,0.3,0.3,0.09,-0.3,-0.3
105,Patson Daka,zm ZAM,FW,Leicester City,24-117,1998,7.8,3,19,11,57.9,2.42,1.4,0.16,0.27,14.9,0,0,0,2.4,2.4,0.13,0.6,0.6
106,Diogo Dalot,pt POR,DF,Manchester Utd,23-322,1999,13.2,0,12,4,33.3,0.91,0.3,0,0,19.5,0,0,0,0.8,0.8,0.06,-0.8,-0.8
107,Mikkel Damsgaard,dk DEN,MFFW,Brentford,22-215,2000,3.1,0,4,3,75,1.3,0.98,0,0,17.3,0,0,0,0.5,0.5,0.12,-0.5,-0.5
108,Danilo,br BRA,MF,Nott'ham Forest,21-280,2001,0.5,0,1,0,0,1.96,0,0,,31.9,0,0,0,0,0,0.03,0,0
109,Josh Dasilva,eng ENG,MF,Brentford,24-103,1998,10.2,3,13,5,38.5,1.27,0.49,0.23,0.6,21.3,0,0,0,0.9,0.9,0.07,2.1,2.1
110,Ben Davies,wls WAL,DF,Tottenham,29-285,1993,14,2,8,4,50,0.57,0.29,0.25,0.5,18.6,0,0,0,0.7,0.7,0.09,1.3,1.3
111,Tom Davies,eng ENG,MF,Everton,24-218,1998,4.6,0,6,1,16.7,1.31,0.22,0,0,19.5,0,0,0,0.6,0.6,0.09,-0.6,-0.6
112,Craig Dawson,eng ENG,DF,West Ham,32-273,1990,8,0,6,1,16.7,0.75,0.12,0,0,15.1,0,0,0,0.5,0.5,0.08,-0.5,-0.5
113,Kevin De Bruyne,be BEL,MF,Manchester City,31-220,1991,17.4,3,45,16,35.6,2.58,0.92,0.07,0.19,23.5,4,0,0,3.3,3.3,0.07,-0.3,-0.3
114,Siriki Dembélé,ci CIV,FWMF,Bournemouth,26-149,1996,1.2,0,2,2,100,1.64,1.64,0,0,16.6,0,0,0,0.2,0.2,0.09,-0.2,-0.2
115,Leander Dendoncker,be BEL,MF,Aston Villa,27-294,1995,3.7,0,1,0,0,0.27,0,0,,23.2,0,0,0,0,0,0.04,0,0
116,Leander Dendoncker,be BEL,MF,Wolves,27-294,1995,2.4,0,3,2,66.7,1.26,0.84,0,0,16.7,0,0,0,0.7,0.7,0.22,-0.7,-0.7
117,Emmanuel Dennis,ng NGA,FW,Nott'ham Forest,25-080,1997,4.1,1,9,2,22.2,2.17,0.48,0.11,0.5,14.6,2,0,0,0.7,0.7,0.08,0.3,0.3
118,Halil Dervişoğlu,tr TUR,MF,Brentford,23-057,1999,0.1,0,1,0,0,11.25,0,0,,31.9,0,0,0,0,0,0.03,0,0
119,Kiernan Dewsbury-Hall,eng ENG,MF,Leicester City,24-150,1998,15.4,2,15,4,26.7,0.98,0.26,0.13,0.5,20.9,0,0,0,1.5,1.5,0.1,0.5,0.5
120,Ibrahima Diallo,fr FRA,MF,Southampton,23-332,1999,7.4,0,6,0,0,0.81,0,0,,28.4,0,0,0,0.2,0.2,0.03,-0.2,-0.2
121,Rúben Dias,pt POR,DF,Manchester City,25-265,1997,9.7,0,5,1,20,0.51,0.1,0,0,10,0,0,0,0.6,0.6,0.12,-0.6,-0.6
122,Luis Díaz,co COL,FW,Liverpool,26-021,1997,6.8,3,16,7,43.8,2.35,1.03,0.19,0.43,13.3,0,0,0,1.7,1.7,0.11,1.3,1.3
123,Eric Dier,eng ENG,DF,Tottenham,29-019,1994,19.3,2,10,4,40,0.52,0.21,0.2,0.5,12.3,1,0,0,0.7,0.7,0.07,1.3,1.3
124,Lucas Digne,fr FRA,DF,Aston Villa,29-198,1993,11.8,1,6,3,50,0.51,0.25,0.17,0.33,19.5,2,0,0,0.2,0.2,0.04,0.8,0.8
